,key_entities
0,Ueli_Maurer
1,Guy_Parmelin
2,Ignazio_Cassis
3,Karin_Keller_Sutter
4,Simonetta_Sommaruga
5,Alain_Berset
6,Viola_Amherd
7,Bundesrat
8,Taskforce
9,Swissmedic
10,EKIF
11,BAG
12,GDK
13,Daniel_Koch
14,Marcel_Salathe
15,Anne_Levy
16,Virginie_Masserey
17,Patrick_Mathys
18,Stefan_Kuster
19,Pascal_Strupler
20,Martin_Ackermann
21,Christoph_Berger
22,Lukas_Engelberger
23,Tanja_Stadler
24,Matthias_Egger
25,Marcel_Tanner
26,SVP
27,SP
28,FDP
29,Die_Mitte
30,Die_Gruene
