,medium_name,publisher
0,20_Minuten,20_Minuten
1,Aargauer_Zeitung,CH_Media
2,Appenzeller_Zeitung,CH_Media
3,Badener_Tagblatt,CH_Media
4,Basler_Zeitung,Tamedia
5,Beobachter,Ringier
6,Berner_Oberlaender,Tamedia
7,Berner_Zeitung,Tamedia
8,Bilanz,Ringier
9,Blick,Ringier
10,BZ_Basel,CH_Media
11,Cash,Ringier
12,Das_Magazin,Tamedia
13,Der_Bund,Tamedia
14,Die_Wochenzeitung,Die_Wochenzeitung
15,Encore!,Tamedia
16,Finanz_und_Wirtschaft,Tamedia
17,Glueckspost,Ringier
18,Grenchner_Tagblatt,CH_Media
19,Handelszeitung,Ringier
20,Landbote,Tamedia
21,Langenthaler_Tagblatt,Tamedia
22,Limmattaler_Zeitung,CH_Media
23,Luzerner_Zeitung,CH_Media
24,Nidwaldner_Zeitung,CH_Media
25,NZZ,NZZ
26,Obwaldner_Zeitung,CH_Media
27,Oltner_Tagblatt,CH_Media
28,Schweizer_Familie,Tamedia
29,Schweizer_Illustrierte,Ringier
30,Schweizer_Landliebe,Ringier
31,Solothurner_Zeitung,CH_Media
32,Sonntagszeitung,Tamedia
33,SRF,SRG
34,St._Galler_Tagblatt,CH_Media
35,Streaming,Ringier
36,Style,Ringier
37,Swissinfo,SRG
38,Tages_Anzeiger,Tamedia
39,Tele,Ringier
40,Thalwiler_Anzeiger,Tamedia
41,Thuner_Tagblatt,Tamedia
42,Thurgauer_Zeitung,CH_Media
43,Toggenburger_Tagblatt,CH_Media
44,TV_Star,Ringier
45,Urner_Zeitung,CH_Media
46,Werdenberger_&_Obertoggenburger,CH_Media
47,Wiler_Zeitung,CH_Media
48,Zofinger_Tagblatt,Zofinger_Tagblatt
49,Zuercher_Unterlaender,Tamedia
50,Zuerichsee_Zeitung,Tamedia
51,Zuger_Presse,CH_Media
52,Zuger_Zeitung,CH_Media
53,Zugerbieter,CH_Media
